job_title,practice_name,location
"Night Registered Veterinary Nurse","Anderson Moores Vet Specialists","The Granary, Bunstead Barns, Poles Lane, Hursley, Winchester, Hampshire"
"Night Registered Veterinary Nurse","Willows Veterinary Centre and Referral Service","Highlands Road, Shirley, Solihull"
"Night Registered Veterinary Nurse *No weekend work*","Abbey House Veterinary Hospital Morley","52 Commercial Street, Morley, Leeds"
"Night Vet","Paragon Veterinary Referrals","Unit 18b, Paragon Business Park, Red Hall Crescent, Wakefield"
"Night Veterinary Surgeon","Abbey House Veterinary Hospital Morley","52 Commercial Street, Morley, Leeds"
"Night Veterinary Surgeon - ECC","Kings Veterinary Centre Melton Mowbray","1-3 Kings Road, Melton Mowbray, Leicestershire"
"OOH Vet - Fixed Term Contract 12 Months","Calder Vets Dewsbury","Savile Road, Dewsbury, West Yorkshire"
"Oncologist (12 month FTC)","Davies Veterinary Specialists","Manor Farm Business Park, Higham Gobion, Herts"
"Oncology Clinician","North Downs Specialist Referrals","The Friesian Building 3&4, Dairy Business Park, Brewer Street, Bletchingley"
"Oncology Clinician","Anderson Moores Vet Specialists","The Granary, Bunstead Barns, Poles Lane, Hursley, Winchester, Hampshire"
"Oncology Intern","Wear Referrals","Bradbury, Stockton-on-Tees, Durham"
"Oncology Registered Veterinary Nurse","Willows Veterinary Centre and Referral Service","Highlands Road, Shirley, Solihull"
"Ophthalmology Clinician","North Downs Specialist Referrals","The Friesian Building 3&4, Dairy Business Park, Brewer Street, Bletchingley"
"Ophthalmology Specialist","London Vet Specialists","70 Chancellors Road, Hammersmith, London"
"Out of Hours Team Leader Registered Veterinary Nurse","Cave Veterinary Specialists","George's Farm, West Buckland, Wellington"
"Part Time Ward RVN","Paragon Veterinary Referrals","Unit 18b, Paragon Business Park, Red Hall Crescent, Wakefield"
"Part-Time Veterinary Surgeon","Calder Vets Penistone","Wentworth Road, Penistone, South Yorkshire"
"Patient Care Assistant","Forest Vets Epping Hospital","Hemnall Street, Epping, Essex"
"Patient Care Assistant","Village Vet (Hampstead)","11 Belsize Terrace, Hampstead"
"Patient Care Assistant","Riversmeet Vets Tamworth","27 Lichfield Street, Tamworth, Staffordshire"
"Patient Care Assistant","Avonvale Veterinary Centres Heathcote","123-125 Heathcote Road, Whitnash, Leamington Spa"
"Patient care assistant","Village Vet (West Hampstead)","292 West End Lane, London"
"Practice Director","N/A","Palmerston Veterinary Hospital, 93 Palmerston Road, Buckhurst Hill, Essex"
"RVN","Donnachie & Townley Veterinary Centre Stafford","Units E and F, Madford Retail Park, Foregate Street, Stafford"
"RVN (Maternity Cover)","Avonvale Veterinary Centres Southam","4 The Cobalt Centre, Kineton Road, Southam"
"Registered Veterinary Nurse","Kings Veterinary Centre Melton Mowbray","1-3 Kings Road, Melton Mowbray, Leicestershire"
"Registered Veterinary Nurse","608 Vet Practice Solihull","608 Warwick Road, Solihull"
"Registered Veterinary Nurse","Blacks Vets Dudley","Hillcroft, Hall Street, Dudley, West Midlands"
"Registered Veterinary Nurse","Rutland Veterinary Centre Uppingham","12a Ayston Road, Uppingham, Rutland"
"Registered Veterinary Nurse","Cathcart and Winn Veterinary Clinic & Hospital Farnham","51 Hale Road, Farnham, Surrey"
"Registered Veterinary Nurse","Cromwell Veterinary Group Huntingdon","36 St Johns Street, Huntingdon, Cambridgeshire"
"Registered Veterinary Nurse","Eye Vet","Apollo House, 41-43 Halton Station Road, Sutton Weaver, Cheshire"
"Registered Veterinary Nurse","Forest Vets Isle of Dogs Surgery","43 Amsterdam Road, London"
"Registered Veterinary Nurse","Village Vet (Queens Park)","49 Lonsdale Road, Queen's Park, London"
"Registered Veterinary Nurse","Village Vet (Hampstead)","11 Belsize Terrace, Hampstead"
"Registered Veterinary Nurse","My Pets Vets","Walter Leigh Way, Leigh"
"Registered Veterinary Nurse","Rutland Veterinary Centre Oakham","Maresfield Road, Barleythorpe, Oakham, Rutland"
"Registered Veterinary Nurse","Lida Vets","Grosvenor Yard, High Street, Newmarket"
"Registered Veterinary Nurse","Moor Cottage Veterinary Practice","London Road, Binfield, Bracknell, Berkshire"
"Registered Veterinary Nurse","Parkhill Vets","Parkhill, Walton Road, Wetherby, West Yorkshire"
"Registered Veterinary Nurse","Avonvale Veterinary Centres Wellesbourne","29 Warwick Road, Wellesbourne"
"Registered Veterinary Nurse","Village Vet (Potters Bar)","7 - 9 Southgate Road, Potters Bar, Hertfordshire"
"Registered Veterinary Nurse","Village Vet (St Albans)","601 Hatfield Road, Smallford, St Albans, Hertfordshire"
"Registered Veterinary Nurse","City Vets Heavitree","Rosary House, 27 Fore Street, Heavitree, Exeter, Devon"
"Registered Veterinary Nurse","Brentknoll Veterinary Centre","Whittington Road, Whittington, Worcester"
"Registered Veterinary Nurse","Alder Veterinary Practice","Unit B, Queen Elizabeth Park, Railton Road, Guildford"
"Registered Veterinary Nurse","Rutland Veterinary Centre Market Harborough","Langton Garden Centre, Melton Road, East Langton, Market Harborough"
"Registered Veterinary Nurse (Cubbington)","Avonvale Veterinary Centres Cubbington","41 Rugby Road, Cubbington, Leamington"
"Registered Veterinary Nurse (Maternity Cover)","Avonvale Veterinary Centres Heathcote","123-125 Heathcote Road, Whitnash, Leamington Spa"
"Registered Veterinary Nurse (Multi-Disciplinary)","London Vet Specialists","70 Chancellors Road, Hammersmith, London"
"Registered Veterinary Nurse (Nights)","Village Vet (Hampstead)","11 Belsize Terrace, Hampstead"
"Registered Veterinary Nurse (Nights)","Village Vet (St Albans)","601 Hatfield Road, Smallford, St Albans, Hertfordshire"
"Registered Veterinary Nurse (Part Time)","Kentdale Referrals","Unit 2B, Moss End Business Village, Crooklands, Milnthorpe, Cumbria"
"Registered Veterinary Nurse - Dental","Village Vet (Whittlesford)","39 Station Road West, Whittlesford, Cambridgeshire"
"Registered Veterinary Nurse - Diagnostic Imaging","Northwest Veterinary Specialists","Delamere House, Ashville Point, Sutton Weaver, Runcorn"
"Registered Veterinary Nurse - Diagnostics","North Downs Specialist Referrals","The Friesian Building 3&4, Dairy Business Park, Brewer Street, Bletchingley"
"Registered Veterinary Nurse - Fixed term","Village Vet (St Albans)","601 Hatfield Road, Smallford, St Albans, Hertfordshire"
"Registered Veterinary Nurse - Nights","Blacks Vets Dudley","Hillcroft, Hall Street, Dudley, West Midlands"
"Registered Veterinary Nurse - Nights","North Downs Specialist Referrals","The Friesian Building 3&4, Dairy Business Park, Brewer Street, Bletchingley"
"Registered Veterinary Nurse - Weekend","Wear Referrals","Bradbury, Stockton-on-Tees, Durham"
"Registered Veterinary Nurse- for Maternity cover role.","Blacks Vets Dudley","Hillcroft, Hall Street, Dudley, West Midlands"
"Roving RVN","Avonvale Veterinary Centres Warwick","6 Broxall Close, Warwick"
"Roving Veterinary Surgeon (No OOH/Weekends)","Calder Vets Dewsbury","Savile Road, Dewsbury, West Yorkshire"
"Soft tissue surgeon","Willows Veterinary Centre and Referral Service","Highlands Road, Shirley, Solihull"
"Surgery Registered Veterinary Nurse","Eastcott Veterinary Referrals","Edison Business Park, Hindle Way, Off Dorcan Way, Swindon, Wiltshire"
"Surgical Intern","North Downs Specialist Referrals","The Friesian Building 3&4, Dairy Business Park, Brewer Street, Bletchingley"
"Surgical RVN","Paragon Veterinary Referrals","Unit 18b, Paragon Business Park, Red Hall Crescent, Wakefield"
"Surgical Registered Veterinary Nurse","Abbey House Veterinary Hospital Morley","52 Commercial Street, Morley, Leeds"
"Surgical Registered Veterinary Nurse","Willows Veterinary Centre and Referral Service","Highlands Road, Shirley, Solihull"
"Twilight Patient Care Assistant","Wicstun Veterinary Group Market Weighton Hospital","Cavendish Drive, Holme Road, Market Weighton"
"Twilight Registered Veterinary Nurse","Eastcott Veterinary Referrals","Edison Business Park, Hindle Way, Off Dorcan Way, Swindon, Wiltshire"
"Twilight Registered Veterinary Nurse","Anderson Moores Vet Specialists","The Granary, Bunstead Barns, Poles Lane, Hursley, Winchester, Hampshire"
"Vet Nurse Team Leader - Theatre/Surgery","Northwest Veterinary Specialists","Delamere House, Ashville Point, Sutton Weaver, Runcorn"
"Veterinary Anaesthetist - Post-Residency Clinician","Northwest Veterinary Specialists","Delamere House, Ashville Point, Sutton Weaver, Runcorn"
"Veterinary Client Care Assistant","Village Vet (St Albans)","601 Hatfield Road, Smallford, St Albans, Hertfordshire"
"Veterinary Client Care Assistant","London Vet Specialists","70 Chancellors Road, Hammersmith, London"
"Veterinary Client Care Assistant part-time","Blythwood Vets Bushey","2 High Street, Bushey"
"Veterinary Client Care Assistant part-time","Village Vet (Berkhamsted)","2 High Street, Berkhamsted, Hertfordshire"
"Veterinary Dermatologist","Wear Referrals","Bradbury, Stockton-on-Tees, Durham"
"Veterinary Imaging Specialist (Fixed-term/full-time role available)","Willows Veterinary Centre and Referral Service","Highlands Road, Shirley, Solihull"
"Veterinary Ophthalmologist","Veterinary Vision Penrith","Signal House, Gillan Way, Penrith, Cumbria"
"Veterinary Ophthalmologist","Eye Vet","Apollo House, 41-43 Halton Station Road, Sutton Weaver, Cheshire"
"Veterinary Ophthalmologist","Veterinary Vision Bamber Bridge","Parkwood House, Berkeley Drive, Bamber Bridge, Preston"
"Veterinary Patient Care Assistant - Ward based","North Downs Specialist Referrals","The Friesian Building 3&4, Dairy Business Park, Brewer Street, Bletchingley"
"Veterinary Pharmacy & Purchasing Assistant","London Vet Specialists","70 Chancellors Road, Hammersmith, London"
"Veterinary Receptionist","Park Vet Group Glenfield","162 Dominion Road, Glenfield, Leicestershire"
"Veterinary Receptionist","Village Vet (Highgate)","65 - 67 Chetwynd Road, Dartmouth Park, Highgate, London"
"Veterinary Receptionist - Cambridge Float","Village Vet (Milton)","26A Cambridge Road, Milton, Cambridge"
"Veterinary Receptionist / Client Care Assistant","Vet4Life Teddington","160 High Street, Teddington, Middlesex"
"Veterinary Receptionist Evenings - Milton","Village Vet (Milton)","26A Cambridge Road, Milton, Cambridge"
"Veterinary Receptionist part-time","North Downs Specialist Referrals","The Friesian Building 3&4, Dairy Business Park, Brewer Street, Bletchingley"
"Veterinary Receptionist part-time","City Vets Alphington","12 Lovelace Gardens, Alphington, Exeter, Devon"
"Veterinary Receptionist part-time","City Vets Heavitree","Rosary House, 27 Fore Street, Heavitree, Exeter, Devon"
"Veterinary Receptionist part-time","The Gables Veterinary Centre","First Lane, Hessle, East Yorkshire"
"Veterinary Receptionist part-time","Hawick Veterinary Practice","1 Earl Street, Hawick, Roxburghshire"
"Veterinary Surgeon","Cinque Ports Tenterden","Highlands, Ashford Road, Tenterden, Kent"
"Veterinary Surgeon","City Vets Heavitree","Rosary House, 27 Fore Street, Heavitree, Exeter, Devon"
"Veterinary Surgeon","N/A","Palmerston Veterinary Hospital, 93 Palmerston Road, Buckhurst Hill, Essex"
"Veterinary Surgeon","Alder Veterinary Practice","Unit B, Queen Elizabeth Park, Railton Road, Guildford"
"Veterinary Surgeon","Blacks Vets Dudley","Hillcroft, Hall Street, Dudley, West Midlands"
"Veterinary Surgeon","Forest Vets Woodford Bridge Surgery","32 Waltham Road, Woodford Bridge, Essex"
"Veterinary Surgeon","Forest Vets Harlow Surgery","Eastwick Lodge Farmhouse, Harlow, Essex"
"Veterinary Surgeon","Calder Vets Dewsbury","Savile Road, Dewsbury, West Yorkshire"
"Veterinary Surgeon","Cromwell Veterinary Group Huntingdon","36 St Johns Street, Huntingdon, Cambridgeshire"
"Veterinary Surgeon","Park Vet Group Glenfield","162 Dominion Road, Glenfield, Leicestershire"
"Veterinary Surgeon","Riversmeet Vets Tamworth","27 Lichfield Street, Tamworth, Staffordshire"
"Veterinary Surgeon","Victoria Vets Glossop","25 Victoria Street, Glossop, Derbyshire"
"Veterinary Surgeon","Vet4Life Surbiton","40-44 Brighton Road, Surbiton, Kingston, Surrey"
"Veterinary Surgeon","Garston Veterinary Group Trowbridge","Glenleigh Surgery, Wingfield Road, Trowbridge, Wiltshire"
"Veterinary Surgeon","Donnachie & Townley Veterinary Centre Rugeley","29 Market Street, Rugeley, Staffordshire"
"Veterinary Surgeon","Colne Valley Veterinary Practice Colchester","Maudlyn Rd, Colchester"
"Veterinary Surgeon","Avonvale Veterinary Centres Warwick","6 Broxall Close, Warwick"
"Veterinary Surgeon","Rutland Veterinary Centre Uppingham","12a Ayston Road, Uppingham, Rutland"
"Veterinary Surgeon","Bay Vets Lancaster","Baldrand House, Bowerham Rd, Lancaster"
"Veterinary Surgeon","Village Vet (Kensal Green)","748 Harrow Road, Kensal Green, London"
"Veterinary Surgeon","Village Vet (St Albans)","601 Hatfield Road, Smallford, St Albans, Hertfordshire"
"Veterinary Surgeon (Primary Care)","Eastcott Veterinary Referrals","Edison Business Park, Hindle Way, Off Dorcan Way, Swindon, Wiltshire"
"Veterinary Surgeon (Primary Care)","Willows Veterinary Centre and Referral Service","Highlands Road, Shirley, Solihull"
"Veterinary Surgeon - ECC/OOH","My Pets Vets","Walter Leigh Way, Leigh"
"Veterinary Surgeon - Surgical Bias","Cromwell Veterinary Group Huntingdon","36 St Johns Street, Huntingdon, Cambridgeshire"
"Veterinary Twilight/Night Patient Care Assistant","Anderson Moores Vet Specialists","The Granary, Bunstead Barns, Poles Lane, Hursley, Winchester, Hampshire"
"Wards Registered Veterinary Nurse","Calder Vets Dewsbury","Savile Road, Dewsbury, West Yorkshire"
"Wards/ECC Inpatient Care Registered Veterinary Nurse","Eastcott Veterinary Referrals","Edison Business Park, Hindle Way, Off Dorcan Way, Swindon, Wiltshire"
"Wards/ICU inpatient care Registered Veterinary Nurse (evening hours) - Fixed Term Contract","Eastcott Veterinary Referrals","Edison Business Park, Hindle Way, Off Dorcan Way, Swindon, Wiltshire"
